TransactionID,Item1,Item2,Item3,Item4,Item5
1,phone case,screen protector,power bank,headphones,webcam
2,phone case,USB cable,headphones,,
3,screen protector,laptop charger,wireless mouse,phone stand,USB cable
4,phone case,USB cable,power bank,headphones,phone stand
5,phone case,USB cable,headphones,,
6,phone case,USB cable,power bank,headphones,keyboard
7,USB cable,power bank,headphones,,
8,screen protector,wireless mouse,phone stand,,
9,laptop charger,USB cable,keyboard,,
10,phone case,screen protector,power bank,headphones,Bluetooth speaker
11,screen protector,laptop charger,wireless mouse,phone stand,
12,phone case,screen protector,USB cable,,
13,USB cable,power bank,headphones,,
14,phone case,USB cable,power bank,headphones,Bluetooth speaker
15,phone case,,,,
16,laptop charger,USB cable,wireless mouse,keyboard,Bluetooth speaker
17,laptop charger,USB cable,wireless mouse,keyboard,screen protector
18,laptop charger,USB cable,wireless mouse,,
19,screen protector,laptop charger,wireless mouse,phone stand,keyboard
20,laptop charger,wireless mouse,phone stand,,
21,USB cable,power bank,headphones,,
22,phone case,USB cable,headphones,,
23,screen protector,,,,
24,phone case,,,,
25,phone case,USB cable,power bank,headphones,
26,phone case,USB cable,power bank,headphones,wireless mouse
27,screen protector,laptop charger,wireless mouse,phone stand,
28,laptop charger,wireless mouse,phone stand,,
29,laptop charger,wireless mouse,keyboard,,
30,laptop charger,USB cable,wireless mouse,keyboard,webcam
31,laptop charger,wireless mouse,keyboard,,
32,phone case,screen protector,webcam,,
33,phone case,USB cable,power bank,headphones,phone stand
34,USB cable,power bank,headphones,,
35,phone case,screen protector,power bank,headphones,phone stand
36,phone case,,,,
37,USB cable,power bank,headphones,,
38,phone case,USB cable,power bank,,
39,phone case,USB cable,power bank,headphones,laptop charger
40,phone case,USB cable,power bank,headphones,
41,phone case,,,,
42,phone case,power bank,headphones,,
43,laptop charger,USB cable,wireless mouse,keyboard,tablet cover
44,phone case,USB cable,power bank,headphones,tablet cover
45,laptop charger,USB cable,wireless mouse,keyboard,Bluetooth speaker
46,screen protector,laptop charger,wireless mouse,phone stand,power bank
47,phone case,USB cable,power bank,headphones,tablet cover
48,phone case,,,,
49,phone case,screen protector,phone stand,,
50,laptop charger,wireless mouse,phone stand,,
51,phone case,screen protector,power bank,headphones,laptop charger
52,phone case,,,,
53,screen protector,laptop charger,phone stand,,
54,screen protector,laptop charger,wireless mouse,phone stand,tablet cover
55,phone case,USB cable,headphones,,
56,laptop charger,wireless mouse,phone stand,,
57,laptop charger,USB cable,wireless mouse,,
58,phone case,screen protector,headphones,,
59,phone case,USB cable,headphones,,
60,phone case,screen protector,webcam,,
61,screen protector,wireless mouse,phone stand,,
62,laptop charger,USB cable,wireless mouse,keyboard,Bluetooth speaker
63,screen protector,laptop charger,wireless mouse,phone stand,
64,phone case,,,,
65,screen protector,laptop charger,wireless mouse,phone stand,Bluetooth speaker
66,USB cable,power bank,headphones,,
67,phone case,screen protector,laptop charger,,
68,phone case,screen protector,power bank,,
69,phone case,,,,
70,screen protector,laptop charger,wireless mouse,phone stand,power bank
71,laptop charger,USB cable,wireless mouse,keyboard,
72,phone case,USB cable,power bank,headphones,tablet cover
73,laptop charger,USB cable,wireless mouse,,
74,USB cable,wireless mouse,keyboard,,
75,screen protector,laptop charger,phone stand,,
76,screen protector,wireless mouse,phone stand,,
77,screen protector,laptop charger,wireless mouse,,
78,phone case,screen protector,power bank,headphones,laptop charger
79,USB cable,wireless mouse,keyboard,,
80,screen protector,laptop charger,wireless mouse,phone stand,tablet cover
81,phone case,USB cable,power bank,headphones,
82,phone case,USB cable,power bank,headphones,laptop charger
83,laptop charger,wireless mouse,keyboard,,
84,phone case,USB cable,power bank,,
85,screen protector,,,,
86,screen protector,laptop charger,wireless mouse,phone stand,
87,laptop charger,USB cable,wireless mouse,keyboard,webcam
88,phone case,screen protector,power bank,headphones,
89,laptop charger,USB cable,wireless mouse,keyboard,
90,screen protector,wireless mouse,phone stand,,
91,phone case,USB cable,headphones,,
92,laptop charger,wireless mouse,phone stand,,
93,phone case,USB cable,power bank,headphones,Bluetooth speaker
94,laptop charger,USB cable,wireless mouse,keyboard,
95,phone case,power bank,headphones,,
96,phone case,screen protector,wireless mouse,,
97,laptop charger,USB cable,wireless mouse,keyboard,screen protector
98,phone case,USB cable,headphones,,
99,phone case,screen protector,headphones,,
100,phone case,screen protector,power bank,headphones,
101,screen protector,,,,
102,phone case,screen protector,power bank,headphones,
103,screen protector,laptop charger,wireless mouse,phone stand,keyboard
104,phone case,USB cable,power bank,headphones,laptop charger
105,phone case,screen protector,power bank,headphones,webcam
106,phone case,screen protector,tablet cover,,
107,phone case,USB cable,power bank,headphones,
108,screen protector,laptop charger,wireless mouse,phone stand,power bank
109,screen protector,laptop charger,wireless mouse,phone stand,tablet cover
110,phone case,USB cable,power bank,,
111,phone case,screen protector,power bank,headphones,keyboard
112,screen protector,wireless mouse,phone stand,,
113,screen protector,power bank,headphones,,
114,phone case,USB cable,power bank,headphones,
115,USB cable,wireless mouse,keyboard,,
116,laptop charger,USB cable,wireless mouse,keyboard,
117,phone case,screen protector,USB cable,,
118,screen protector,laptop charger,wireless mouse,phone stand,keyboard
119,phone case,screen protector,headphones,,
120,laptop charger,USB cable,wireless mouse,keyboard,
121,phone case,screen protector,headphones,,
122,laptop charger,USB cable,wireless mouse,keyboard,phone case
123,screen protector,laptop charger,phone stand,,
124,phone case,screen protector,power bank,headphones,laptop charger
125,phone case,screen protector,power bank,headphones,webcam
126,laptop charger,USB cable,wireless mouse,,
127,phone case,power bank,headphones,,
128,phone case,screen protector,power bank,headphones,
129,phone case,USB cable,power bank,headphones,Bluetooth speaker
130,phone case,screen protector,power bank,,
131,phone case,screen protector,headphones,,
132,laptop charger,USB cable,keyboard,,
133,phone case,USB cable,power bank,headphones,keyboard
134,phone case,screen protector,power bank,headphones,keyboard
135,USB cable,wireless mouse,keyboard,,
136,laptop charger,wireless mouse,phone stand,,
137,laptop charger,wireless mouse,phone stand,,
138,screen protector,power bank,headphones,,
139,phone case,USB cable,power bank,headphones,
140,phone case,screen protector,laptop charger,,
141,screen protector,power bank,headphones,,
142,screen protector,wireless mouse,phone stand,,
143,laptop charger,USB cable,wireless mouse,,
144,screen protector,laptop charger,phone stand,,
145,screen protector,laptop charger,wireless mouse,,
146,laptop charger,USB cable,wireless mouse,keyboard,
147,phone case,screen protector,tablet cover,,
148,screen protector,laptop charger,wireless mouse,phone stand,headphones
149,screen protector,laptop charger,wireless mouse,phone stand,power bank
150,laptop charger,USB cable,wireless mouse,keyboard,headphones
151,phone case,screen protector,power bank,headphones,laptop charger
152,phone case,screen protector,tablet cover,,
153,phone case,screen protector,USB cable,,
154,phone case,USB cable,power bank,headphones,webcam
155,phone case,screen protector,power bank,,
156,screen protector,laptop charger,wireless mouse,phone stand,tablet cover
157,screen protector,,,,
158,phone case,screen protector,power bank,headphones,laptop charger
159,phone case,screen protector,wireless mouse,,
160,USB cable,power bank,headphones,,
161,phone case,screen protector,power bank,headphones,Bluetooth speaker
162,phone case,power bank,headphones,,
163,phone case,USB cable,headphones,,
164,phone case,power bank,headphones,,
165,laptop charger,USB cable,wireless mouse,keyboard,headphones
166,screen protector,,,,
167,phone case,,,,
168,phone case,,,,
169,laptop charger,USB cable,wireless mouse,keyboard,
170,phone case,power bank,headphones,,
171,USB cable,wireless mouse,keyboard,,
172,phone case,screen protector,power bank,,
173,screen protector,laptop charger,phone stand,,
174,laptop charger,USB cable,wireless mouse,keyboard,power bank
175,laptop charger,wireless mouse,keyboard,,
176,USB cable,wireless mouse,keyboard,,
177,phone case,screen protector,power bank,headphones,wireless mouse
178,screen protector,laptop charger,wireless mouse,,
179,phone case,power bank,headphones,,
180,phone case,screen protector,power bank,headphones,webcam
181,phone case,USB cable,power bank,,
182,phone case,screen protector,USB cable,,
183,phone case,power bank,headphones,,
184,phone case,power bank,headphones,,
185,phone case,screen protector,headphones,,
186,phone case,,,,
187,phone case,screen protector,power bank,,
188,laptop charger,USB cable,wireless mouse,keyboard,
189,laptop charger,USB cable,wireless mouse,,
190,screen protector,laptop charger,wireless mouse,,
191,phone case,USB cable,power bank,headphones,
192,laptop charger,USB cable,wireless mouse,,
193,phone case,screen protector,power bank,headphones,wireless mouse
194,USB cable,wireless mouse,keyboard,,
195,screen protector,,,,
196,phone case,,,,
197,laptop charger,USB cable,wireless mouse,keyboard,
198,screen protector,laptop charger,wireless mouse,phone stand,tablet cover
199,USB cable,power bank,headphones,,
200,laptop charger,USB cable,keyboard,,
201,phone case,USB cable,power bank,,
202,phone case,USB cable,power bank,headphones,Bluetooth speaker
203,phone case,screen protector,tablet cover,,
204,phone case,screen protector,power bank,,
205,phone case,USB cable,power bank,headphones,
206,phone case,screen protector,,,
207,phone case,screen protector,power bank,,
208,screen protector,laptop charger,wireless mouse,,
209,phone case,screen protector,power bank,headphones,Bluetooth speaker
210,phone case,screen protector,wireless mouse,,
211,laptop charger,USB cable,wireless mouse,keyboard,
212,laptop charger,USB cable,keyboard,,
213,phone case,screen protector,power bank,headphones,Bluetooth speaker
214,screen protector,laptop charger,phone stand,,
215,laptop charger,USB cable,keyboard,,
216,phone case,,,,
217,phone case,screen protector,power bank,headphones,keyboard
218,laptop charger,USB cable,keyboard,,
219,laptop charger,USB cable,wireless mouse,,
220,phone case,USB cable,power bank,,
221,laptop charger,USB cable,wireless mouse,keyboard,power bank
222,laptop charger,USB cable,wireless mouse,,
223,phone case,screen protector,headphones,,
224,phone case,screen protector,power bank,,
225,phone case,USB cable,power bank,headphones,phone stand
226,phone case,USB cable,headphones,,
227,phone case,screen protector,power bank,,
228,phone case,screen protector,power bank,headphones,
229,laptop charger,wireless mouse,phone stand,,
230,screen protector,,,,
231,phone case,power bank,headphones,,
232,laptop charger,USB cable,wireless mouse,keyboard,Bluetooth speaker
233,phone case,screen protector,headphones,,
234,phone case,USB cable,headphones,,
235,laptop charger,wireless mouse,phone stand,,
236,laptop charger,wireless mouse,keyboard,,
237,phone case,screen protector,power bank,headphones,keyboard
238,phone case,screen protector,power bank,,
239,phone case,USB cable,power bank,,
240,phone case,USB cable,power bank,headphones,wireless mouse
241,phone case,screen protector,power bank,headphones,
242,laptop charger,USB cable,wireless mouse,keyboard,phone case
243,phone case,USB cable,power bank,headphones,
244,screen protector,laptop charger,wireless mouse,,
245,phone case,USB cable,power bank,headphones,keyboard
246,screen protector,laptop charger,wireless mouse,phone stand,headphones
247,USB cable,power bank,headphones,,
248,laptop charger,wireless mouse,phone stand,,
249,phone case,screen protector,webcam,,
250,phone case,USB cable,headphones,,
251,phone case,USB cable,power bank,headphones,keyboard
